               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.036731,            0.022256,           0.0070616,             0.96179,             0.96622,              0.9603,             0.55866,            0.044212,            0.015194,            0.007524,            0.003466,            0.003466,            0.003466
                 101,            0.036882,            0.020286,           0.0069727,             0.96549,             0.96685,             0.96398,             0.57133,            0.043203,             0.01518,           0.0074846,              0.0034,              0.0034,              0.0034
                 102,            0.036952,             0.02155,           0.0067982,              0.9673,             0.96321,             0.96441,             0.56846,            0.043133,            0.015351,           0.0075047,            0.003334,            0.003334,            0.003334
                 103,            0.037377,            0.021397,           0.0069015,              0.9661,             0.96591,             0.96741,             0.56956,            0.043355,            0.015367,           0.0076766,            0.003268,            0.003268,            0.003268
                 104,            0.035608,            0.020909,           0.0066537,             0.97231,             0.96662,             0.96916,             0.57329,             0.04334,            0.015284,           0.0076815,            0.003202,            0.003202,            0.003202
                 105,            0.036224,            0.022508,           0.0068793,             0.96905,             0.96822,             0.97004,             0.57035,            0.043213,            0.015224,           0.0075149,            0.003136,            0.003136,            0.003136
                 106,             0.03629,            0.020383,           0.0066011,             0.97969,             0.96602,              0.9741,             0.57692,            0.043085,            0.015164,           0.0074364,             0.00307,             0.00307,             0.00307
                 107,            0.036143,            0.021292,           0.0070361,             0.97836,             0.96459,             0.97193,             0.57221,            0.043312,            0.015258,           0.0075224,            0.003004,            0.003004,            0.003004
                 108,            0.036042,            0.021821,           0.0070467,             0.97774,             0.96777,             0.97089,             0.57453,            0.043571,            0.015207,           0.0073956,            0.002938,            0.002938,            0.002938
                 109,            0.036644,            0.021224,           0.0069216,             0.97386,             0.97325,              0.9696,             0.57287,            0.043164,            0.015184,           0.0073627,            0.002872,            0.002872,            0.002872
                 110,            0.036194,            0.021158,            0.007035,             0.97008,             0.96545,             0.96574,             0.56647,            0.043904,            0.015281,           0.0074264,            0.002806,            0.002806,            0.002806
                 111,            0.035575,            0.022616,            0.006942,             0.96971,             0.97078,              0.9684,             0.56987,            0.043706,            0.015365,            0.007452,             0.00274,             0.00274,             0.00274
                 112,             0.03613,            0.020269,           0.0069391,             0.96962,              0.9667,             0.96827,             0.57154,            0.043357,            0.015332,           0.0075289,            0.002674,            0.002674,            0.002674
                 113,             0.03517,              0.0211,           0.0068715,             0.97432,             0.96845,             0.97185,             0.57919,            0.043132,            0.015347,           0.0075611,            0.002608,            0.002608,            0.002608
                 114,            0.034935,            0.021989,           0.0064686,             0.97492,             0.96967,              0.9752,             0.57869,            0.043265,            0.015337,           0.0075884,            0.002542,            0.002542,            0.002542
                 115,            0.035424,            0.020406,           0.0066217,             0.97017,             0.96516,             0.97013,             0.57231,            0.043131,            0.015341,           0.0075179,            0.002476,            0.002476,            0.002476
                 116,            0.035265,            0.021223,           0.0067975,             0.97078,             0.96971,             0.97091,             0.57313,            0.043005,            0.015296,           0.0075141,             0.00241,             0.00241,             0.00241
                 117,            0.035202,            0.021207,           0.0067024,             0.96961,             0.97043,             0.97178,             0.57455,            0.042861,            0.015282,           0.0074925,            0.002344,            0.002344,            0.002344
                 118,             0.03542,            0.021231,           0.0069551,             0.97193,             0.97524,             0.97344,              0.5811,            0.042802,            0.015182,           0.0073154,            0.002278,            0.002278,            0.002278
                 119,            0.035212,            0.021298,           0.0066986,             0.96588,             0.97393,             0.96773,             0.58079,            0.042694,            0.015231,           0.0072546,            0.002212,            0.002212,            0.002212
